Time_ms, Audio_In, Audio_Out, Filter_State
0.722,   2435814,    555398,          0
0.723,   2384930,    597704,          0
0.724,   2332110,    639524,          0
0.726,   2277396,    680825,          0
0.727,   2220834,    721574,          0
0.728,   2162468,    761736,          0
0.730,   2102346,    801280,          0
0.731,   2040518,    840173,          0
0.733,   1977033,    878385,          0
0.734,   1911942,    915883,          0
0.735,   1845299,    952637,          0
0.737,   1777158,    988618,          0
0.738,   1707575,   1023796,          0
0.740,   1636604,   1058143,          0
0.741,   1564305,   1091631,          0
0.742,   1490736,   1124233,          0
0.744,   1415956,   1155921,          0
0.745,   1340027,   1186672,          0
0.747,   1263010,   1216458,          0
0.748,   1184967,   1245258,          0
0.749,   1105963,   1273046,          0
0.751,   1026060,   1299800,          0
0.752,    945324,   1325499,          0
0.753,    863821,   1350122,          0
0.755,    781616,   1373649,          0
0.756,    698777,   1396060,          0
0.758,    615370,   1417338,          0
0.759,    531464,   1437465,          0
0.760,    447126,   1456425,          0
0.762,    362426,   1474203,          0
0.763,    277431,   1490784,          0
0.765,    192210,   1506154,          0
0.766,    106834,   1520301,          0
0.767,     21371,   1533214,          0
0.769,    -64109,   1544882,          0
0.770,   -149537,   1555296,          0
0.772,   -234844,   1564447,          0
0.773,   -319960,   1572328,          0
0.774,   -404817,   1578932,          0
0.776,   -489345,   1584255,          0
0.777,   -573475,   1588291,          0
0.778,   -657140,   1591037,          0
0.780,   -740272,   1592492,          0
0.781,   -822802,   1592653,          0
0.783,   -904664,   1591522,          0
0.784,   -985792,   1589098,          0
0.785,  -1066119,   1585384,          0
0.787,  -1145581,   1580383,          0
0.788,  -1224113,   1574099,          0
0.790,  -1301651,   1566537,          0
0.791,  -1378132,   1557703,          0
0.792,  -1453494,   1547604,          0
0.794,  -1527676,   1536248,          0
0.795,  -1600617,   1523646,          0
0.797,  -1672259,   1509806,          0
0.798,  -1742543,   1494740,          0
0.799,  -1811413,   1478461,          0
0.801,  -1878811,   1460981,          0
0.802,  -1944685,   1442315,          0
0.804,  -2008979,   1422479,          0
0.805,  -2071642,   1401487,          0
0.806,  -2132623,   1379357,          0
0.808,  -2191873,   1356107,          0
0.809,  -2249343,   1331757,          0
0.810,  -2304987,   1306325,          0
0.812,  -2358759,   1279832,          0
0.813,  -2410616,   1252300,          0
0.815,  -2460516,   1223752,          0
0.816,  -2508418,   1194210,          0
0.817,  -2554284,   1163698,          0
0.819,  -2598076,   1132241,          0
0.820,  -2639758,   1099866,          0
0.822,  -2679297,   1066597,          0
0.823,  -2716661,   1032462,          0
0.824,  -2751818,    997489,          0
0.826,  -2784742,    961706,          0
0.827,  -2815405,    925142,          0
0.829,  -2843782,    887827,          0
0.830,  -2869849,    849791,          0
0.831,  -2893587,    811066,          0
0.833,  -2914976,    771681,          0
0.834,  -2933997,    731670,          0
0.835,  -2950637,    691066,    2000000
0.837,  -2964881,   -649901,    2000000
0.838,  -2976717,   -608207,    2000000
0.840,  -2986137,   -566020,    2000000
0.841,  -2993132,   -523373,    2000000
0.842,  -2997697,   -480301,    2000000
0.844,  -2999828,   -436839,    2000000
0.845,  -2999524,   -393022,    2000000
0.847,  -2996784,   -348886,    2000000
0.848,  -2991611,   -304467,    2000000
0.849,  -2984009,   -259801,    2000000
0.851,  -2973984,   -214924,    2000000
0.852,  -2961545,   -169873,    2000000
0.854,  -2946701,   -124683,    2000000
0.855,  -2929465,    -79392,    2000000
0.856,  -2909850,    -34037,    2000000
0.858,  -2887872,     11346,    2000000
0.859,  -2863550,     56719,    2000000
0.861,  -2836903,    102047,    2000000
0.862,  -2807952,    147292,    2000000
0.863,  -2776722,    192417,    2000000
0.865,  -2743237,    237386,    2000000
0.866,  -2707525,    282162,    2000000
0.867,  -2669615,    326709,    2000000
0.869,  -2629537,    370991,    2000000
0.870,  -2587324,    414971,    2000000
0.872,  -2543011,    458615,    2000000
0.873,  -2496632,    501886,    2000000
0.874,  -2448227,    544750,    2000000
0.876,  -2397834,    587172,    2000000
0.877,  -2345494,    629117,    2000000
0.879,  -2291250,    670551,    2000000
0.880,  -2235145,    711440,    2000000
0.881,  -2177226,    751752,    2000000
0.883,  -2117539,    791454,    2000000
0.884,  -2056132,    830513,    2000000
0.886,  -1993056,    868897,    2000000
0.887,  -1928362,    906577,    2000000
0.888,  -1862103,    943520,    2000000
0.890,  -1794331,    979697,    2000000
0.891,  -1725103,   1015078,    2000000
0.892,  -1654474,   1049636,    2000000
0.894,  -1582501,   1083341,    2000000
0.895,  -1509244,   1116167,    2000000
0.897,  -1434761,   1148086,    2000000
0.898,  -1359114,   1179073,    2000000
0.899,  -1282363,   1209103,    2000000
0.901,  -1204571,   1238152,    2000000
0.902,  -1125801,   1266195,    2000000
0.904,  -1046116,   1293210,    2000000
0.905,   -965583,   1319174,    2000000
0.906,   -884265,   1344068,    2000000
0.908,   -802230,   1367871,    2000000
0.909,   -719543,   1390563,    2000000
0.911,   -636272,   1412126,    2000000
0.912,   -552484,   1432542,    2000000
0.913,   -468248,   1451796,    2000000
0.915,   -383631,   1469870,    2000000
0.916,   -298703,   1486751,    2000000
0.917,   -213533,   1502426,    2000000
0.919,   -128189,   1516880,    2000000
0.920,    -42741,   1530102,    2000000
0.922,     42741,   1542083,    2000000
0.923,    128189,   1552811,    2000000
0.924,    213533,   1562278,    2000000
0.926,    298703,   1570477,    2000000
0.927,    383631,   1577401,    2000000
0.929,    468247,   1583045,    2000000
0.930,    552484,   1587402,    2000000
0.931,    636271,   1590472,    2000000
0.933,    719543,   1592249,    2000000
0.934,    802229,   1592734,    2000000
0.936,    884265,   1591926,    2000000
0.937,    965583,   1589825,    2000000
0.938,   1046116,   1586434,    2000000
0.940,   1125800,   1581754,    2000000
0.941,   1204571,   1575790,    2000000
0.943,   1282363,   1568547,    2000000
0.944,   1359114,   1560030,    2000000
0.945,   1434761,   1550247,    2000000
0.947,   1509244,   1539205,    2000000
0.948,   1582501,   1526913,    2000000
0.949,   1654474,   1513381,    2000000
0.951,   1725103,   1498621,    2000000
0.952,   1794331,   1482644,    2000000
0.954,   1862103,   1465463,    2000000
0.955,   1928362,   1447092,    2000000
0.956,   1993056,   1427547,    2000000
0.958,   2056132,   1406842,    2000000
